1,166978
2,209024
3,220581
4,213303
5,201238
6,189456
7,176749
8,166689
9,155760
10,143678
11,134961
12,125915
13,116806
14,108415
15,101975
16,94321
17,88279
18,82630
19,76489
20,70967
21,66376
22,61621
23,57321
24,53678
25,49607
26,46446
27,43501
28,40388
29,37980
30,34476
31,32455
32,30449
33,28202
34,26350
35,24360
36,22791
37,21023
38,19700
39,18429
40,17265
41,15867
42,14799
43,13986
44,12919
45,11969
46,11120
47,10477
48,9721
49,9308
50,8532
51,7933
52,7349
53,6950
54,6451
55,5963
56,5612
57,5175
58,4777
59,4571
60,4096
61,4008
62,3592
63,3515
64,3173
65,2972
66,2804
67,2631
68,2404
69,2347
70,1972
71,1933
72,1783
73,1672
74,1613
75,1536
76,1370
77,1319
78,1203
79,1157
80,1113
81,975
82,927
83,839
84,773
85,720
86,631
87,621
88,588
89,519
90,537
91,490
92,442
93,442
94,392
95,373
96,348
97,308
98,325
99,287
100,300
101,251
102,267
103,200
104,207
105,208
106,180
107,151
108,172
109,140
110,140
111,151
112,132
113,107
114,127
115,128
116,90
117,109
118,92
119,104
120,78
121,70
122,69
123,66
124,72
125,62
126,49
127,49
128,46
129,42
130,49
131,42
132,42
133,49
134,32
135,31
136,48
137,31
138,32
139,30
140,36
141,24
142,27
143,19
144,23
145,23
146,19
147,19
148,12
149,20
150,16
151,19
152,15
153,12
154,15
155,12
156,8
157,16
158,9
159,14
160,15
161,11
162,11
163,3
164,7
165,5
166,6
167,3
168,5
169,5
170,6
171,4
172,4
173,5
174,5
175,4
176,3
177,6
178,6
179,5
180,3
181,3
182,2
183,1
184,3
185,3
186,1
187,3
188,1
189,5
190,4
191,2
192,2
193,1
194,1
195,3
196,2
197,2
198,2
200,2
202,2
204,3
205,1
207,2
208,2
209,1
210,2
211,1
212,1
214,1
216,1
231,2
233,1
237,1
238,2
251,1
255,1
258,1
261,1
262,1
273,1
290,1
300,1
